Description,Recency,Frequency,Monetary,R,F,M,RFM_score,Segment
DANISH ROSE BEDSIDE CABINET,112,10,519.35,4,2,3,423,Inactive product or newly launched
DANISH ROSE DECORATIVE PLATE,1,56,710.64,1,3,3,133,Inactive product or newly launched
DANISH ROSE DELUXE COASTER,1,41,407.15,1,3,3,133,Inactive product or newly launched
DANISH ROSE FOLDING CHAIR,305,25,890.4000000000001,5,2,3,523,Inactive product or newly launched
DANISH ROSE PHOTO FRAME,40,99,1460.81,4,4,4,444,MVP
DANISH ROSE ROUND SEWING BOX,1,62,951.79,1,3,4,134,Inactive product or newly launched
DANISH ROSE TRINKET TRAYS,1,31,483.05,1,3,3,133,Inactive product or newly launched
DANISH ROSE UMBRELLA STAND,19,2,31.9,3,1,1,311,Inactive product or newly launched
DARK BIRD HOUSE TREE DECORATION,2,67,377.3299999999999,1,3,3,133,Inactive product or newly launched
DECORATION  BUTTERFLY  MAGIC GARDEN,142,58,375.78999999999996,5,3,3,533,Potential products
DECORATION  PINK CHICK MAGIC GARDEN,23,46,320.53999999999996,3,3,2,332,Potential products
"DECORATION , WOBBLY CHICKEN, METAL ",252,28,374.54999999999995,5,3,3,533,Potential products
"DECORATION , WOBBLY RABBIT , METAL ",253,34,448.79999999999995,5,3,3,533,Potential products
"DECORATION HEN ON NEST, HANGING",359,3,64.35,5,1,1,511,Inactive product or newly launched
DECORATION SITTING BUNNY,29,43,257.61,4,3,2,432,Potential products
DECORATION WHITE CHICK MAGIC GARDEN,11,78,530.49,3,4,3,343,Selling consistently
DECORATION WOBBLY CHICKEN,9,29,256.11,3,3,2,332,Potential products
DECORATION WOBBLY RABBIT METAL ,9,45,375.57,3,3,3,333,Potential products
DECORATIVE CATS BATHROOM BOTTLE,10,52,647.03,3,3,3,333,Potential products
DECORATIVE FLORE BATHROOM BOTTLE,10,41,313.91,3,3,2,332,Potential products
DECORATIVE HANGING SHELVING UNIT,141,5,359.70000000000005,5,1,3,513,Inactive product or newly launched
DECORATIVE PLANT POT WITH FRIEZE,12,25,544.5,3,2,3,323,Inactive product or newly launched
DECORATIVE ROSE BATHROOM BOTTLE,10,59,693.52,3,3,3,333,Potential products
DECORATIVE VINTAGE COFFEE  BOX,2,16,208.20000000000002,1,2,2,122,Inactive product or newly launched
DECORATIVE WICKER HEART LARGE,1,232,2794.6499999999996,1,5,5,155,Inactive product or newly launched
DECORATIVE WICKER HEART MEDIUM,1,202,2181.19,1,5,4,154,Inactive product or newly launched
DECORATIVE WICKER HEART SMALL,1,86,932.2800000000001,1,4,3,143,Inactive product or newly launched
"DECOUPAGE,GREETING CARD,",148,23,141.12,5,2,2,522,Inactive product or newly launched
DECROTIVEVINTAGE COFFEE GRINDER BOX,45,4,49.5,4,1,1,411,Inactive product or newly launched
DELUXE SEWING KIT ,2,223,5968.67,1,5,5,155,Inactive product or newly launched
DENIM PATCH PURSE PINK BUTTERFLY,122,27,231.0,4,3,2,432,Potential products
DIAMANTE BOW BROOCH BLACK COLOUR,12,4,44.449999999999996,3,1,1,311,Inactive product or newly launched
DIAMANTE BOW BROOCH GREEN COLOUR,2,10,133.35,1,2,2,122,Inactive product or newly launched
DIAMANTE BOW BROOCH RED COLOUR,2,10,158.75,1,2,2,122,Inactive product or newly launched
DIAMANTE HAIR GRIP PACK/2 BLACK DIA,33,3,14.85,4,1,1,411,Inactive product or newly launched
DIAMANTE HAIR GRIP PACK/2 CRYSTAL,77,1,9.899999999999999,4,1,1,411,Inactive product or newly launched
DIAMANTE HAIR GRIP PACK/2 LT ROSE,33,3,14.85,4,1,1,411,Inactive product or newly launched
DIAMANTE HAIR GRIP PACK/2 MONTANA,33,3,13.2,4,1,1,411,Inactive product or newly launched
DIAMANTE HAIR GRIP PACK/2 PERIDOT,77,1,9.899999999999999,4,1,1,411,Inactive product or newly launched
DIAMANTE HAIR GRIP PACK/2 RUBY,33,3,16.499999999999996,4,1,1,411,Inactive product or newly launched
"DIAMANTE HEART SHAPED WALL MIRROR, ",1,38,1490.65,1,3,4,134,Inactive product or newly launched
DIAMANTE NECKLACE,109,1,15.0,4,1,1,411,Inactive product or newly launched
DIAMANTE NECKLACE BLACK ,37,1,15.0,4,1,1,411,Inactive product or newly launched
DIAMANTE NECKLACE GREEN,61,2,22.5,4,1,1,411,Inactive product or newly launched
DIAMANTE NECKLACE PURPLE,37,4,52.5,4,1,1,411,Inactive product or newly launched
DIAMANTE RING ASSORTED IN BOX.,1,22,1311.3600000000001,1,2,4,124,Inactive product or newly launched
DIAMOND LAS VEGAS NECKLACE 45CM,16,3,29.75,3,1,1,311,Inactive product or newly launched
DINOSAUR HEIGHT CHART STICKER SET,14,35,486.75000000000006,3,3,3,333,Potential products
DINOSAUR KEYRINGS ASSORTED,51,132,1310.25,4,4,4,444,MVP
DINOSAUR LUNCH BOX WITH CUTLERY,2,168,2868.7799999999997,1,5,5,155,Inactive product or newly launched
DINOSAUR PARTY BAG + STICKER SET,3,92,1101.44,2,4,4,244,Potential products
DINOSAURS  WRITING SET ,1,169,975.0999999999999,1,5,4,154,Inactive product or newly launched
DISCO BALL CHRISTMAS DECORATION,1,184,1397.04,1,5,4,154,Inactive product or newly launched
DISCO BALL ROTATOR BATTERY OPERATED,8,102,1034.0,3,4,4,344,Selling consistently
DO NOT TOUCH MY STUFF DOOR HANGER ,43,114,599.79,4,4,3,443,Selling consistently
DOCTOR'S BAG SOFT TOY,4,66,1640.1799999999998,2,3,4,234,Potential products
DOG AND BALL WALL ART,47,4,425.87999999999994,4,1,3,413,Inactive product or newly launched
DOG BOWL CHASING BALL DESIGN,4,115,5220.429999999999,2,4,5,245,Potential products
DOG BOWL VINTAGE CREAM,1,108,1507.92,1,4,4,144,Inactive product or newly launched
DOG LICENCE WALL ART,12,29,2081.64,3,3,4,334,Potential products
DOG TOY WITH PINK CROCHET SKIRT,5,70,615.76,3,4,3,343,Selling consistently
DOGGY RUBBER,5,29,40.32,3,3,1,331,Inactive product or newly launched
DOILEY BISCUIT TIN,87,13,327.6,4,2,2,422,Inactive product or newly launched
DOILEY STORAGE TIN,29,113,2934.98,4,4,5,445,MVP
DOILY THANK YOU CARD,1,44,286.62,1,3,2,132,Inactive product or newly launched
DOLLCRAFT BOY JEAN-PAUL ,205,12,373.9,5,2,3,523,Inactive product or newly launched
DOLLCRAFT GIRL AMELIE,204,8,178.2,5,2,2,522,Inactive product or newly launched
DOLLCRAFT GIRL AMELIE KIT,205,8,294.7,5,2,2,522,Inactive product or newly launched
DOLLCRAFT GIRL NICOLE,205,12,336.6,5,2,3,523,Inactive product or newly launched
DOLLY CABINET 2 DRAWERS ,2,19,412.5,1,2,3,123,Inactive product or newly launched
DOLLY CABINET 3 DRAWERS ,1,30,762.4499999999999,1,3,3,133,Inactive product or newly launched
DOLLY GIRL BABY GIFT SET,6,120,6534.049999999999,3,4,5,345,Selling consistently
DOLLY GIRL CHILDRENS BOWL,2,142,1854.8500000000001,1,4,4,144,Inactive product or newly launched
DOLLY GIRL CHILDRENS CUP,1,145,1880.14,1,4,4,144,Inactive product or newly launched
DOLLY GIRL CHILDRENS EGG CUP,4,112,1131.21,2,4,4,244,Potential products
DOLLY GIRL LUNCH BOX,1,623,20104.09,1,5,5,155,Inactive product or newly launched
DOLLY GIRL MINI BACKPACK,1,147,2838.9500000000003,1,4,5,145,Inactive product or newly launched
DOLLY GIRL MINI RUCKSACK,53,2,33.2,4,1,1,411,Inactive product or newly launched
DOLLY GIRL WALL ART,30,11,1055.94,4,2,4,424,Inactive product or newly launched
DOLLY HONEYCOMB GARLAND,23,20,403.2,3,2,3,323,Inactive product or newly launched
DOLLY MIXTURE CHILDREN'S UMBRELLA,1,64,822.38,1,3,3,133,Inactive product or newly launched
DOLPHIN WINDMILL,181,1,2.12,5,1,1,511,Inactive product or newly launched
DONKEY TAIL GAME ,78,4,189.54000000000002,4,1,2,412,Inactive product or newly launched
DOOR HANGER  MUM + DADS ROOM,1,52,271.15,1,3,2,132,Inactive product or newly launched
DOORKNOB CERAMIC IVORY,135,1,52.199999999999996,5,1,1,511,Inactive product or newly launched
DOORKNOB CRACKED GLAZE BLUE,149,3,238.49999999999997,5,1,2,512,Inactive product or newly launched
DOORKNOB CRACKED GLAZE GREEN,158,2,19.799999999999997,5,1,1,511,Inactive product or newly launched
DOORKNOB CRACKED GLAZE IVORY,109,5,258.29999999999995,4,1,2,412,Inactive product or newly launched
DOORKNOB CRACKED GLAZE PINK,158,2,19.799999999999997,5,1,1,511,Inactive product or newly launched
DOORMAT 3 SMILEY CATS,1,175,6690.8,1,5,5,155,Inactive product or newly launched
DOORMAT AIRMAIL ,1,156,4887.82,1,5,5,155,Inactive product or newly launched
DOORMAT BLACK FLOCK ,4,173,9797.75,2,5,5,255,Potential products
DOORMAT CHRISTMAS VILLAGE,4,35,2991.7,2,3,5,235,Potential products
DOORMAT ENGLISH ROSE ,1,356,13447.1,1,5,5,155,Inactive product or newly launched
DOORMAT FAIRY CAKE,1,242,21171.79,1,5,5,155,Inactive product or newly launched
DOORMAT FANCY FONT HOME SWEET HOME,1,397,19149.07,1,5,5,155,Inactive product or newly launched
DOORMAT HEARTS,1,481,19924.66,1,5,5,155,Inactive product or newly launched
DOORMAT HOME SWEET HOME BLUE ,1,262,9619.99,1,5,5,155,Inactive product or newly launched
DOORMAT I LOVE LONDON,3,69,2157.33,2,4,4,244,Potential products
DOORMAT KEEP CALM AND COME IN,1,652,35880.85,1,5,5,155,Inactive product or newly launched
DOORMAT MERRY CHRISTMAS RED ,11,113,4340.44,3,4,5,345,Selling consistently
DOORMAT MULTICOLOUR STRIPE,1,141,8045.2699999999995,1,4,5,145,Inactive product or newly launched
DOORMAT NEIGHBOURHOOD WITCH ,3,70,1645.67,2,4,4,244,Potential products
DOORMAT NEW ENGLAND,1,533,22783.8,1,5,5,155,Inactive product or newly launched
DOORMAT PEACE ON EARTH BLUE,1,27,3442.04,1,3,5,135,Inactive product or newly launched
DOORMAT RED RETROSPOT,1,577,25364.85,1,5,5,155,Inactive product or newly launched
DOORMAT RESPECTABLE HOUSE,2,126,4865.19,1,4,5,145,Inactive product or newly launched
DOORMAT SPOTTY HOME SWEET HOME,1,405,12055.32,1,5,5,155,Inactive product or newly launched
DOORMAT TOPIARY,1,183,5644.46,1,5,5,155,Inactive product or newly launched
DOORMAT UNION FLAG,1,518,23622.54,1,5,5,155,Inactive product or newly launched
DOORMAT UNION JACK GUNS AND ROSES,3,156,6619.41,2,5,5,255,Potential products
DOORMAT VINTAGE LEAF,1,121,3766.57,1,4,5,145,Inactive product or newly launched
DOORMAT VINTAGE LEAVES DESIGN ,138,88,2833.7000000000003,5,4,5,545,MVP
DOORMAT WELCOME PUPPIES,3,252,11536.25,2,5,5,255,Potential products
DOORMAT WELCOME SUNRISE,1,95,2260.69,1,4,4,144,Inactive product or newly launched
DOORMAT WELCOME TO OUR HOME,1,338,9451.58,1,5,5,155,Inactive product or newly launched
DOORSTOP FOOTBALL DESIGN,1,51,404.98,1,3,3,133,Inactive product or newly launched
DOORSTOP RACING CAR DESIGN,3,32,232.25,2,3,2,232,Potential products
DOORSTOP RETROSPOT HEART,3,236,5919.46,2,5,5,255,Potential products
DOTCOM POSTAGE,4,16,11906.36,2,2,5,225,Inactive product or newly launched
DOTCOMGIFTSHOP TEA TOWEL,294,1,19.799999999999997,5,1,1,511,Inactive product or newly launched
DOUBLE CERAMIC PARLOUR HOOK,95,5,91.30000000000001,4,1,2,412,Inactive product or newly launched
DOUGHNUT LIP GLOSS ,1,308,11615.7,1,5,5,155,Inactive product or newly launched
DOVE DECORATION PAINTED ZINC ,56,52,667.71,4,3,3,433,Potential products
DRAGONS BLOOD INCENSE,30,13,73.29,4,2,2,422,Inactive product or newly launched
DRAWER KNOB CERAMIC BLACK,1,80,1314.95,1,4,4,144,Inactive product or newly launched
DRAWER KNOB CERAMIC IVORY,2,166,2863.39,1,5,5,155,Inactive product or newly launched
DRAWER KNOB CERAMIC RED,1,59,943.75,1,3,4,134,Inactive product or newly launched
DRAWER KNOB CRACKLE GLAZE BLUE,37,112,1751.7899999999997,4,4,4,444,MVP
DRAWER KNOB CRACKLE GLAZE GREEN,1,136,2060.3999999999996,1,4,4,144,Inactive product or newly launched
DRAWER KNOB CRACKLE GLAZE IVORY,13,181,3348.5999999999995,3,5,5,355,Selling consistently
DRAWER KNOB CRACKLE GLAZE PINK,2,136,1967.9999999999998,1,4,4,144,Inactive product or newly launched
DRAWER KNOB VINTAGE GLASS BALL,8,46,669.61,3,3,3,333,Potential products
DRAWER KNOB VINTAGE GLASS HEXAGON,8,27,596.96,3,3,3,333,Potential products
DRAWER KNOB VINTAGE GLASS STAR,3,55,1016.97,2,3,4,234,Potential products
DROP DIAMANTE EARRINGS BLACK DIAMON,179,2,20.650000000000002,5,1,1,511,Inactive product or newly launched
DROP DIAMANTE EARRINGS CRYSTAL,77,3,38.35000000000001,4,1,1,411,Inactive product or newly launched
DROP DIAMANTE EARRINGS GREEN,77,1,17.700000000000003,4,1,1,411,Inactive product or newly launched
DROP DIAMANTE EARRINGS PURPLE,61,6,50.150000000000006,4,1,1,411,Inactive product or newly launched
DROP EARRINGS W FLOWER & LEAF,21,2,5.1,3,1,1,311,Inactive product or newly launched
DUSTY PINK CHRISTMAS TREE 30CM,369,1,1.25,5,1,1,511,Inactive product or newly launched
DUSTY PINK CHRISTMAS TREE 60CM,19,2,26.550000000000004,3,1,1,311,Inactive product or newly launched
EASTER BUNNY GARLAND OF FLOWERS,239,38,200.34,5,3,2,532,Potential products
EASTER BUNNY HANGING GARLAND,234,11,67.5,5,2,1,521,Inactive product or newly launched
EASTER BUNNY WITH BASKET ON BACK,36,19,68.25,4,2,1,421,Inactive product or newly launched
EASTER BUNNY WREATH,246,10,138.6,5,2,2,522,Inactive product or newly launched
EASTER CRAFT 4 CHICKS ,6,162,3355.35,3,5,5,355,Selling consistently
EASTER CRAFT IVY WREATH WITH CHICK,318,1,1.95,5,1,1,511,Inactive product or newly launched
EASTER DECORATION EGG BUNNY ,4,77,654.7,2,4,3,243,Potential products
EASTER DECORATION HANGING BUNNY,2,85,562.7,1,4,3,143,Inactive product or newly launched
EASTER DECORATION NATURAL CHICK,10,54,331.50000000000006,3,3,2,332,Potential products
EASTER DECORATION SITTING BUNNY,202,56,407.13,5,3,3,533,Potential products
EASTER TIN BUCKET,263,38,931.95,5,3,3,533,Potential products
EASTER TIN BUNNY BOUQUET,24,129,1822.7999999999997,4,4,4,444,MVP
EASTER TIN CHICKS IN GARDEN,234,38,481.79999999999995,5,3,3,533,Potential products
EASTER TIN CHICKS PINK DAISY,21,85,923.9999999999999,3,4,3,343,Selling consistently
EASTER TIN KEEPSAKE,64,111,1713.8999999999999,4,4,4,444,MVP
EASTER TREE YELLOW BIRDS,2,43,642.6,1,3,3,133,Inactive product or newly launched
EAU DE NIL LOVE BIRD CANDLE,1,21,353.72,1,2,3,123,Inactive product or newly launched
EAU DE NILE HEART SHAPE PHOTO FRAME,5,21,471.15,3,2,3,323,Inactive product or newly launched
EAU DE NILE JEWELLED PHOTOFRAME,5,24,522.4499999999999,3,2,3,323,Inactive product or newly launched
EAU DE NILE JEWELLED T-LIGHT HOLDER,1,9,63.75,1,2,1,121,Inactive product or newly launched
ECONOMY HOLIDAY PURSE,244,4,11.8,5,1,1,511,Inactive product or newly launched
ECONOMY LUGGAGE TAG,3,31,139.56,2,3,2,232,Potential products
EDWARDIAN DROP EARRINGS JET BLACK,2,4,30.0,1,1,1,111,Inactive product or newly launched
EDWARDIAN HEART PHOTO FRAME,5,33,610.0500000000001,3,3,3,333,Potential products
EDWARDIAN PARASOL BLACK,1,291,15218.67,1,5,5,155,Inactive product or newly launched
EDWARDIAN PARASOL NATURAL,1,380,20672.91,1,5,5,155,Inactive product or newly launched
EDWARDIAN PARASOL PINK,1,135,4242.26,1,4,5,145,Inactive product or newly launched
EDWARDIAN PARASOL RED,1,271,9055.87,1,5,5,155,Inactive product or newly launched
EDWARDIAN PHOTO FRAME,5,31,543.75,3,3,3,333,Potential products
EGG CUP HENRIETTA HEN CREAM ,4,28,664.52,2,3,3,233,Potential products
EGG CUP HENRIETTA HEN PINK,7,19,233.75,3,2,2,322,Inactive product or newly launched
EGG CUP MILKMAID HEIDI,4,46,919.52,2,3,3,233,Potential products
EGG CUP MILKMAID HELGA ,4,31,435.0,2,3,3,233,Potential products
EGG CUP MILKMAID INGRID,4,42,703.51,2,3,3,233,Potential products
EGG CUP NATURAL CHICKEN,2,88,520.48,1,4,3,143,Inactive product or newly launched
EGG FRYING PAN BLUE ,1,58,312.0,1,3,2,132,Inactive product or newly launched
EGG FRYING PAN IVORY ,1,82,722.5600000000001,1,4,3,143,Inactive product or newly launched
EGG FRYING PAN MINT ,1,60,351.52000000000004,1,3,3,133,Inactive product or newly launched
EGG FRYING PAN PINK ,1,64,415.97,1,3,3,133,Inactive product or newly launched
EGG FRYING PAN RED ,1,91,820.32,1,4,3,143,Inactive product or newly launched
EIGHT PIECE CREEPY CRAWLIE SET,255,3,7.5,5,1,1,511,Inactive product or newly launched
EIGHT PIECE DINOSAUR SET,268,20,115.0,5,2,2,522,Inactive product or newly launched
EIGHT PIECE SNAKE  SET,3,69,388.75,2,4,3,243,Potential products
ELEPHANT BIRTHDAY CARD ,1,72,449.88,1,4,3,143,Inactive product or newly launched
ELEPHANT CARNIVAL POUFFE,46,24,568.0999999999999,4,2,3,423,Inactive product or newly launched
ELEPHANT CLIP W SUCTION CUP,150,4,6.72,5,1,1,511,Inactive product or newly launched
"ELEPHANT, BIRTHDAY CARD, ",107,126,859.08,4,4,3,443,Selling consistently
ELVIS WALLHANGING / CURTAIN,206,6,60.0,5,1,1,511,Inactive product or newly launched
EMBOSSED GLASS TEALIGHT HOLDER,1,162,2855.59,1,5,5,155,Inactive product or newly launched
EMBOSSED HEART TRINKET BOX,1,35,444.02000000000004,1,3,3,133,Inactive product or newly launched
EMBROIDERED RIBBON REEL CLAIRE,17,19,755.01,3,2,3,323,Inactive product or newly launched
EMBROIDERED RIBBON REEL DAISY ,1,60,1075.3799999999999,1,3,4,134,Inactive product or newly launched
EMBROIDERED RIBBON REEL EMILY ,2,86,1046.42,1,4,4,144,Inactive product or newly launched
EMBROIDERED RIBBON REEL RACHEL ,7,41,954.9300000000001,3,3,4,334,Potential products
EMBROIDERED RIBBON REEL REBECCA ,5,51,860.88,3,3,3,333,Potential products
EMBROIDERED RIBBON REEL ROSIE,2,49,921.46,1,3,3,133,Inactive product or newly launched
EMBROIDERED RIBBON REEL RUBY ,4,30,585.63,2,3,3,233,Potential products
EMBROIDERED RIBBON REEL SALLY ,6,62,909.14,3,3,3,333,Potential products
EMBROIDERED RIBBON REEL SOPHIE  ,4,42,1025.01,2,3,4,234,Potential products
EMBROIDERED RIBBON REEL SUSIE ,4,62,1072.96,2,3,4,234,Potential products
EMERGENCY FIRST AID TIN ,3,119,1102.64,2,4,4,244,Potential products
EMPIRE BIRTHDAY CARD,4,85,476.25,2,4,3,243,Potential products
EMPIRE DESIGN ROSETTE,31,26,3596.4199999999996,4,2,5,425,Inactive product or newly launched
EMPIRE GIFT WRAP,4,105,1363.0,2,4,4,244,Potential products
EMPIRE TISSUE BOX,1,130,919.6700000000001,1,4,3,143,Inactive product or newly launched
EMPIRE UNION JACK TV DINNER TRAY,1,78,2145.8199999999997,1,4,4,144,Inactive product or newly launched
ENAMEL BLUE RIM BISCUIT BIN,220,30,413.95000000000005,5,3,3,533,Potential products
ENAMEL BLUE RIM COFFEE CONTAINER,9,21,155.03,3,2,2,322,Inactive product or newly launched
ENAMEL BLUE RIM TEA CONTAINER,242,3,9.18,5,1,1,511,Inactive product or newly launched
ENAMEL BOWL PANTRY,95,2,30.0,4,1,1,411,Inactive product or newly launched
ENAMEL BREAD BIN CREAM,1,326,8493.5,1,5,5,155,Inactive product or newly launched
ENAMEL COLANDER CREAM,2,141,2086.11,1,4,4,144,Inactive product or newly launched
ENAMEL DINNER PLATE PANTRY,95,1,19.799999999999997,4,1,1,411,Inactive product or newly launched
ENAMEL FIRE BUCKET CREAM,3,92,1528.73,2,4,4,244,Potential products
ENAMEL FLOWER JUG CREAM,11,444,11421.130000000001,3,5,5,355,Selling consistently
ENAMEL JUG PANTRY,95,2,30.0,4,1,1,411,Inactive product or newly launched
ENAMEL MEASURING JUG CREAM,1,317,4916.04,1,5,5,155,Inactive product or newly launched
ENAMEL MUG PANTRY,149,1,15.0,5,1,1,511,Inactive product or newly launched
ENAMEL PINK COFFEE CONTAINER,40,53,545.38,4,3,3,433,Potential products
ENAMEL PINK TEA CONTAINER,185,41,374.10999999999996,5,3,3,533,Potential products
ENAMEL WASH BOWL CREAM,2,145,2228.05,1,4,4,144,Inactive product or newly launched
ENAMEL WATERING CAN CREAM,2,162,2621.85,1,5,4,154,Inactive product or newly launched
ENCHANTED BIRD COATHANGER 5 HOOK,1,192,3470.5400000000004,1,5,5,155,Inactive product or newly launched
ENCHANTED BIRD PLANT CAGE,141,43,595.8000000000001,5,3,3,533,Potential products
ENGLISH ROSE GARDEN SECATEURS,30,178,1825.99,4,5,4,454,MVP
ENGLISH ROSE HOT WATER BOTTLE,1,279,5729.66,1,5,5,155,Inactive product or newly launched
ENGLISH ROSE METAL WASTE BIN,179,11,59.0,5,2,1,521,Inactive product or newly launched
ENGLISH ROSE NOTEBOOK A6 SIZE,215,20,185.1,5,2,2,522,Inactive product or newly launched
ENGLISH ROSE NOTEBOOK A7 SIZE,1,225,1147.0,1,5,4,154,Inactive product or newly launched
ENGLISH ROSE SCENTED HANGING FLOWER,63,51,365.5,4,3,3,433,Potential products
ENGLISH ROSE SCENTED HANGING HEART,206,2,17.0,5,1,1,511,Inactive product or newly launched
ENGLISH ROSE SMALL SCENTED FLOWER,5,28,163.2,3,3,2,332,Potential products
ENGLISH ROSE SPIRIT LEVEL ,1,92,860.88,1,4,3,143,Inactive product or newly launched
ENVELOPE 50 BLOSSOM IMAGES,37,75,491.55,4,4,3,443,Selling consistently
ENVELOPE 50 CURIOUS IMAGES,211,11,26.17,5,2,1,521,Inactive product or newly launched
ENVELOPE 50 ROMANTIC IMAGES,250,3,5.1,5,1,1,511,Inactive product or newly launched
ESSENTIAL BALM 3.5g TIN IN ENVELOPE,143,18,383.76,5,2,3,523,Inactive product or newly launched
ETCHED GLASS COASTER,54,60,722.88,4,3,3,433,Potential products
EUCALYPTUS & PINECONE  WREATH,24,37,1118.65,4,3,4,434,Potential products
FAIRY CAKE BIRTHDAY CANDLE SET,1,84,1547.4,1,4,4,144,Inactive product or newly launched
FAIRY CAKE DESIGN UMBRELLA,21,95,1482.87,3,4,4,344,Selling consistently
FAIRY CAKE FLANNEL ASSORTED COLOUR,1,193,17291.57,1,5,5,155,Inactive product or newly launched
FAIRY CAKE NOTEBOOK A5 SIZE,324,5,39.1,5,1,1,511,Inactive product or newly launched
FAIRY CAKES NOTEBOOK A6 SIZE,2,110,762.99,1,4,3,143,Inactive product or newly launched
FAIRY CAKES NOTEBOOK A7 SIZE,4,100,655.34,2,4,3,243,Potential products
FAIRY DREAMS INCENSE ,1,32,212.75,1,3,2,132,Inactive product or newly launched
